panel_year,official_page,http_status,page_title,wave_or_detail_pages,official_payload_or_document_links,likely_data_payload_links,raw_payloads_downloaded_locally,local_scope_status,snapshot_relative_path,snapshot_sha256_project_generated
1984,https://www.census.gov/programs-surveys/sipp/data/datasets.1984.html,200,Survey of Income and Program Participation Datasets,9,58,20,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1984\official_dataset_page_20260716.html,7ee26c74f834a571fc3be371a7f7dc2fc14928832e7dc27568e8f541205529a5
1985,https://www.census.gov/programs-surveys/sipp/data/datasets.1985.html,200,Survey of Income and Program Participation Datasets,8,51,16,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1985\official_dataset_page_20260716.html,cc6a29d31d69f45ab969a201ef8793ff0b53cce861ad2325fa0d4f5173ca9395
1986,https://www.census.gov/programs-surveys/sipp/data/datasets.1986.html,200,Survey of Income and Program Participation Datasets,7,47,14,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1986\official_dataset_page_20260716.html,e096fb75f87dbac3cde341aa483b23cf8e7b2709cda4e43b7538944749fc1b29
1987,https://www.census.gov/programs-surveys/sipp/data/datasets.1987.html,200,Survey of Income and Program Participation Datasets,7,46,13,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1987\official_dataset_page_20260716.html,fb1f85ae89f987f93583add3e0a59f029f6b95b38113262f31fe028f73536282
1988,https://www.census.gov/programs-surveys/sipp/data/datasets.1988.html,200,Survey of Income and Program Participation Datasets,6,43,14,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1988\official_dataset_page_20260716.html,2858e54311fa63174b75a67e191fcf36fdab1333ce761a02d1ccc888e4208601
1989,https://www.census.gov/programs-surveys/sipp/data/datasets.1989.html,200,Survey of Income and Program Participation Datasets,3,19,6,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1989\official_dataset_page_20260716.html,c88e15cbfa6df171b158faadd763901a8bbb0911b31085ba71881963c7e799cb
1990,https://www.census.gov/programs-surveys/sipp/data/datasets.1990.html,200,Survey of Income and Program Participation Datasets,8,91,44,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1990\official_dataset_page_20260716.html,a9b380326e7282dabca10215e11c5ecd1f1aa489f70a72b3f14d5a103df5746c
1991,https://www.census.gov/programs-surveys/sipp/data/datasets.1991.html,200,Survey of Income and Program Participation Datasets,8,98,44,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1991\official_dataset_page_20260716.html,0395c1caa3f87ed83362705cc78806443dcc9fd6ffb78ee626ebebee6fcff608
1992,https://www.census.gov/programs-surveys/sipp/data/datasets.1992.html,200,Survey of Income and Program Participation Datasets,9,102,48,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1992\official_dataset_page_20260716.html,fbaa924b1eed7d3b488dacfa2e2b25c41d9ae98a121a08fc51aa18fd96ec34d3
1993,https://www.census.gov/programs-surveys/sipp/data/datasets.1993.html,200,Survey of Income and Program Participation Datasets,9,101,48,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1993\official_dataset_page_20260716.html,45233fafaa71ea9803ce1aea89a4a24ffcdcdffe99705c8c54c62470679e20e3
1996,https://www.census.gov/programs-surveys/sipp/data/datasets.1996.html,200,Survey of Income and Program Participation Datasets,12,152,86,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\1996\official_dataset_page_20260716.html,e50cd3ec27fbd33245bbfece6e3d4464c19142820ed1fec50ac27a090cfdf1ed
2001,https://www.census.gov/programs-surveys/sipp/data/datasets.2001.html,200,Survey of Income and Program Participation Datasets,9,123,72,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\2001\official_dataset_page_20260716.html,80d2fc673eba832bc273482a6f7debf626961cbb8e288bc32ab469dacadd0570
2004,https://www.census.gov/programs-surveys/sipp/data/datasets.2004.html,200,Survey of Income and Program Participation Datasets,12,142,86,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\2004\official_dataset_page_20260716.html,d4402599151e6e1cabd360eb3a947aae9f40334b04ba0bff2f9905eb06c2bb95
2008,https://www.census.gov/programs-surveys/sipp/data/datasets.2008.html,200,Survey of Income and Program Participation Datasets,16,187,110,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\2008\official_dataset_page_20260716.html,67313a8bec0c0d9d164fc26fcc147a56a9628fedbc50e0cd2e9d064fd59cc415
2014,https://www.census.gov/programs-surveys/sipp/data/datasets.2014.html,200,Survey of Income and Program Participation Datasets,5,153,100,0,metadata_catalog_only_not_downloaded,temp\source_metadata\census_sipp\legacy\2014\official_dataset_page_20260716.html,c26a4d7ca5a706a90a9ac02eab582eb9028af590bcf4bc41b47e90c1a26c619e
